"Print Date": 2019-JUN-15 21:06
"Area Code","Area Name"
"0050","ADSETT"
"0100","AIRPORT"
"0200","AITKEN CREEK"
"0210","AITKEN CREEK NORTH"
"0250","ALCES"
"0320","ALTARES"
"0350","ATTACHIE"
"0380","BEAR FLAT"
"0400","BEATTON RIVER"
"0600","BEATTON RIVER WEST"
"0740","BEAVER RIVER"
"0700","BEAVERDAM"
"0760","BEAVERTAIL"
"0800","BEG"
"1000","BEG WEST"
"1200","BERNADET"
"1260","BIRCH"
"1280","BIRLEY CREEK"
"1300","BIVOUAC"
"1350","BLACK CREEK"
"1360","BLAIR"
"1400","BLUEBERRY"
"1600","BLUEBERRY EAST"
"1800","BLUEBERRY WEST"
"1880","BOUDREAU"
"1900","BOUGIE"
"1950","BOULDER"
"2000","BOUNDARY LAKE"
"2020","BOUNDARY LAKE NORTH"
"9060","BOWSER"
"2100","BRASSEY"
"2150","BRAZION"
"2160","BRIAR RIDGE"
"2200","BUBBLES"
"2240","BUBBLES NORTH"
"2300","BUCKINGHORSE"
"2400","BUICK CREEK"
"2700","BUICK CREEK NORTH"
"2800","BUICK CREEK WEST"
"2810","BULLDOG"
"2860","BULLMOOSE"
"2865","BULLMOOSE WEST"
"2820","BULRUSH"
"2850","BURNT RIVER"
"2870","BUTLER"
"2900","CABIN"
"2920","CACHE CREEK"
"2940","CARIBOU"
"2960","CECIL LAKE"
"2985","CHINCHAGA RIVER"
"2990","CHOWADE"
"3200","CLARKE LAKE"
"3230","COMMOTION"
"3240","CONROY CREEK"
"9047","CORDOVA"
"3250","CROW RIVER"
"3260","CRUSH"
"3300","CURRANT"
"3320","CURRANT WEST"
"3340","CUTBANK"
"3360","CYPRESS"
"3380","DAHL"
"3390","DAIBER"
"3400","DAWSON CREEK"
"9030","DEEP BASIN"
"3410","DESAN"
"3420","DILLY"
"3425","DOE"
"3426","DOIG RAPIDS"
"3430","DRAKE"
"3440","EAGLE"
"3445","EAGLE WEST"
"3450","EKWAN"
"3453","ELBOW CREEK"
"3455","ELLEH"
"3457","ELLEH NORTH"
"3460","ELM"
"3465","ESKAI"
"3480","EVIE BANK"
"3510","FARRELL CREEK WEST"
"3490","FEDERAL"
"9090","FERNIE"
"3515","FIR CREEK"
"3520","FIREBIRD"
"3540","FIREWEED"
"3560","FLATROCK"
"3580","FLATROCK WEST"
"9040","FOOTHILLS"
"3600","FORT ST JOHN"
"4000","FORT ST JOHN SOUTHEAST"
"9120","GEORGIA"
"4100","GOOSE"
"4150","GOPHER"
"4200","GOTE"
"4300","GRAHAM"
"4350","GRASSY"
"4370","GREEN CREEK"
"4375","GREENHILLS"
"4380","GRIZZLY NORTH"
"4385","GRIZZLY SOUTH"
"4390","GROUNDBIRCH"
"4400","GUNDY CREEK"
"4460","GUNDY CREEK WEST"
"4470","GUNNELL CREEK"
"4485","GUTAH"
"4500","GWILLIM"
"4600","HALFWAY"
"4650","HAY RIVER"
"4700","HELMET"
"9021","HERITAGE"
"4780","HIDING CREEK"
"4800","HIGHHAT MOUNTAIN"
"4850","HOFFARD"
"9045","HORN RIVER"
"4860","HOSSITL"
"4875","HUNTER"
"4900","INGA"
"4920","INGA NORTH"
"4925","INGA SOUTH"
"4975","JACKPINE"
"5000","JEDNEY"
"5020","JEDNEY WEST"
"5100","JULIENNE CREEK"
"5110","JULIENNE CREEK NORTH"
"5120","JULIENNE CREEK SOUTH"
"5150","JUNIOR"
"5160","KAHNTAH RIVER"
"5170","KELLY"
"5180","KLUA"
"5200","KOBES"
"5230","KOBES WEST"
"5300","KOMIE"
"5400","KOTCHO LAKE"
"5420","KOTCHO LAKE EAST"
"5480","KYKLO"
"5500","LADYFERN"
"5540","LAGARDE"
"5560","LAPP"
"5600","LAPRISE CREEK"
"5800","LAPRISE CREEK WEST"
"9046","LIARD"
"5810","LILY LAKE"
"5840","LOUISE"
"5850","MARTIN"
"5845","MATHESON"
"5852","MAXHAMISH LAKE"
"5855","MEL"
"5858","MERCURY"
"5860","MICA"
"5880","MIKE"
"6000","MILLIGAN CREEK"
"6020","MILLIGAN CREEK WEST"
"6030","MILO"
"6100","MOBERLY LAKE"
"6140","MONIAS"
"6200","MONTNEY"
"6210","MOOSE"
"6220","MURRAY"
"6230","MUSKRAT"
"9080","NECHAKO"
"6400","NIG CREEK"
"6410","NIG CREEK NORTH"
"6420","NIG CREEK WEST"
"6430","NOEL"
"6440","NORTH PINE"
"9022","NORTHERN MONTNEY"
"9010","NORTHERN PLAINS"
"6460","OAK"
"6480","OJAY"
"6485","OOTLA"
"6490","OSBORN"
"6500","OSPREY"
"9000","OTHER AREAS"
"6530","OWL"
"6560","PARADISE"
"6600","PARKLAND"
"9020","PEACE RIVER"
"6800","PEEJAY"
"7000","PEEJAY WEST"
"7200","PETITOT RIVER"
"7250","PICKELL"
"7265","PINTAIL"
"7275","PLUTO"
"7300","POCKETKNIFE"
"7320","PORTAGE"
"7340","PRESPATOU"
"9100","QUEEN CHARLOTTE"
"9070","QUESNEL"
"7400","RED CREEK"
"7410","RED CREEK NORTH"
"7430","RED DEER"
"7440","REDEYE"
"7500","REDWILLOW RIVER"
"7600","RIGEL"
"7620","RIGEL EAST"
"7660","RING"
"7720","ROGER"
"7740","SAHTANEH"
"7745","SATURN"
"7750","SEPTIMUS"
"7755","SEXTET"
"7760","SHEKILIE"
"7770","SIERRA"
"7775","SIKANNI"
"7780","SILVER"
"7820","SILVERBERRY"
"7840","SIPHON"
"7860","SIPHON EAST"
"7890","SOJER"
"7900","SQUIRREL"
"8000","STODDART"
"8060","STODDART SOUTH"
"8100","STODDART WEST"
"8105","STONE CREEK"
"8110","SUKUNKA"
"8115","SUNDOWN"
"8120","SUNRISE"
"8130","SUNSET PRAIRIE"
"8135","SWAN LAKE"
"8137","TATTOO"
"8140","THETLAANDOA"
"8144","THETLAANDOA NORTH"
"8147","THUNDER MOUNTAIN"
"9110","TOFINO"
"8150","TOMMY LAKES"
"8155","TOOGA"
"8157","TOWER LAKE"
"8160","TOWN"
"8170","TOWNSEND"
"8175","TRUTCH"
"8180","TSEA"
"8190","TUPPER CREEK"
"8200","TWO RIVERS"
"8220","UMBACH"
"2600","UNKNOWN - REMOVE ASSOC. POOL"
"8240","VELMA"
"8260","WARGEN"
"8300","WEASEL"
"8320","WEASEL WEST"
"9050","WHITEHORSE"
"8360","WILDER"
"8400","WILDMINT"
"8600","WILLOW"
"8625","WINDFLOWER"
"8700","WOLF"
"8720","WOLVERINE"
"8740","WOODRUSH"
"8800","YOYO"
"8900","ZAREMBA"
