"Print Date": 2019-MAY-22 21:05
"Formation Code","Formation Name"
"4610","A MARKER/BASE OF LIME"
"2703","AITKEN CREEK"
"9922","ALDRIDGE"
"8132","ALEXO"
"9974","ALTYN"
"9970","APPEKUNNY"
"8195","ARCS"
"8720","ARNICA"
"4700","ARTEX"
"4748","ARTEX/HALFWAY"
"4615","B ANHYDRITE MARKER"
"1380","BAD HEART"
"4100","BALDONNEL"
"4150","BALDONNEL/UPPER CHARLIE LAKE"
"7700","BANFF"
"7234","BARIL"
"2625","BASAL BLUESKY"
"4536","BASAL BOUNDARY"
"2830","BASAL CRETACEOUS SANDSTONE"
"2720","BASAL GETHING"
"7340","BASAL KISKATINAW"
"4702","BASE OF ARTEX"
"1713","BASE OF FISH SCALES"
"4582","BEAR FLAT"
"7590","BEAR RIVER"
"2838","BEATTIE PEAKS"
"8340","BEAVERHILL LAKE"
"6225","BELCOURT"
"6227","BELCOURT-TAYLOR FLAT"
"6200","BELLOY"
"6250","BELLOY-KISKATINAW"
"1350","BELLY RIVER"
"0720","BENSON"
"7730","BESA RIVER"
"2836","BICKFORD"
"1405","BLACKSTONE"
"1800","BLAIRMORE"
"4560","BLUEBERRY"
"2600","BLUESKY"
"2630","BLUESKY-GETHING"
"2640","BLUESKY-GETHING-DETRITAL"
"4990","BLUESKY-GETHING-MONTNEY"
"4046","BOCOCK"
"1721","BOUGIE"
"1723","BOULDER CREEK"
"0105","BOUNDARY BAY"
"4534","BOUNDARY DISCONFORMITY"
"4535","BOUNDARY LAKE"
"2930","BOWSER LAKE GROUP"
"1720","BUCKINGHORSE"
"2890","BUICK CREEK"
"2690","BULLHEAD"
"5500","CACHE CREEK"
"2800","CADOMIN"
"2885","CADOMIN-NIKANASSIN"
"2200","CADOTTE"
"8284","CAIRN"
"8145","CALMAR"
"9050","CAMBRIAN"
"0070","CAPE BALL"
"1400","CARDIUM SAND"
"1398","CARDIUM ZONE"
"7224","CARNARVON"
"9111","CATHEDRAL"
"4520","CECIL"
"0650","CEDAR DISTRICT"
"0040","CENOZOIC"
"4500","CHARLIE LAKE"
"8660","CHINCHAGA"
"2805","CHINKEH"
"1368","CHINOOK"
"0150","CHUCKANUT"
"4578","COFFEE CREEK"
"4710","COLDSTREAM MEMBER"
"1850","COMMOTION"
"0710","COMOX"
"8310","COOKING LAKE"
"4540","COPLIN"
"4541","COPLIN UNCONFORMITY"
"9992","COQUINA"
"0180","CRETACEOUS"
"1520","CROWSNEST VOLCANICS"
"2855","CURRIER"
"4890","DAIBER"
"4705","DALE MEMBER"
"2820","DALHOUSIE"
"0640","DE COURCY"
"7400","DEBOLT"
"7510","DESAN"
"2650","DETRITAL"
"8000","DEVONIAN"
"1420","DOE CREEK"
"4900","DOIG"
"4980","DOIG PHOSPHATE BEDS"
"4997","DOIG PHOSPHATE-MONTNEY"
"4905","DOIG SAND"
"0673","DOUGLAS COAL"
"8678","DUNEDIN"
